Z;Atom;Refs.;State;Alpha;Year;Comments
39;Y;[\citenum{Gould2016b}];$^2D_{3/2},4d^1$;$134.9$;2016;SIC-DFT (RXH)
39;Y;[\citenum{Gould2016a}];$^2D_{3/2},4d^1$;$163$;2016;TD-DFT (LEXX)
39;Y;[\citenum{Gould2016b}];$^2D_{3/2},4d^1$;$134.9$;2016;SIC-DFT (RXH)
39;Y;[\citenum{Gould2016b}];$^2D_{3/2},4d^1$;$126.74$;2016;TD-DFT (PGG)
39;Y;[\citenum{gobre2016efficient}];$^2D_{3/2},4d^1$;$163 \pm 12$;2016;LR-CCSD
39;Y;[\citenum{Schwerdtfeger2019}];$--$;$162 \pm 12$;2019;recommended
40;Zr;[\citenum{Lide2004, Doolen1987}];$^3F_2, 4d^2$;$121 \pm 30$;2004;R, Dirac, LDA
40;Zr;[\citenum{Ma2015}];$^3F_2, 4d^2$;$112 \pm 13$;2015;exp.
40;Zr;[\citenum{gobre2016efficient}];$^3F_2, 4d^2$;$119.97$;2016;LR-CCSD
40;Zr;[\citenum{Gould2016a}];$^3F_2, 4d^2$;$112$;2016;TD-DFT (LEXX)
40;Zr;[\citenum{Gould2016b}];$^3F_2, 4d^2$;$109.8$;2016;SIC-DFT (RXH)
40;Zr;[\citenum{Gould2016b}];$^3F_2, 4d^2$;$130.5$;2016;TD-DFT (PGG)
40;Zr;[\citenum{Schwerdtfeger2019}];$--$;$112 \pm 13$;2019;recommended
41;Nb;[\citenum{Lide2004, Doolen1987}];$^6D_{1/2}, 4d^4$;$106 \pm 27$;2004;R, Dirac, LDA
41;Nb;[\citenum{Ma2015}];$^6D_{1/2}, 4d^4$;$97.9 \pm 7.4$;2015;exp.
41;Nb;[\citenum{gobre2016efficient}];$^6D_{1/2}, 4d^4$;$101.60$;2016;LR-CCSD
41;Nb;[\citenum{Gould2016a}];$^6D_{1/2}, 4d^4$;$97.9$;2016;TD-DFT (LEXX)
41;Nb;[\citenum{Gould2016b}];$^6D_{1/2}, 4d^4$;$99.6$;2016;TD-DFT (PGG)
41;Nb;[\citenum{Gould2016b}];$^6D_{1/2}, 4d^4$;$95.5$;2016;SIC-DFT (RXH)
41;Nb;[\citenum{A.Manz2019}];$^6D_{1/2}, 4d^4$;$106.43$;2019;ECP, CCSD
41;Nb;[\citenum{Schwerdtfeger2019}];$--$;$98 \pm 8$;2019;recommended
42;Mo;[\citenum{Liepack1956}];$^7S_3, 4d^5$;$61 \pm 10$;1956;exp.
42;Mo;[\citenum{Lide2004, Doolen1987}];$^7S_3, 4d^5$;$86 \pm 22$;2004;R, Dirac, LDA
42;Mo;[\citenum{Buchachenko2010}];$^7S_3, 4d^5$;$84$;2010;R, CCSD(T)
42;Mo;[\citenum{Buchachenko2010}];$^7S_3, 4d^5$;$79$;2010;MRCI
42;Mo;[\citenum{Hohm2012, Roos2005}];$^7S, 4d^5$;$73 \pm 11$;2012;R, DK, CASPT2
42;Mo;[\citenum{Ma2015}];$^7S_3, 4d^5$;$87.1 \pm 6.1$;2015;exp.
42;Mo;[\citenum{gobre2016efficient}];$^7S_3, 4d^5$;$88.42$;2016;LR-CCSD
42;Mo;[\citenum{Gould2016a}];$^7S_3, 4d^5$;$87.1$;2016;TD-DFT (LEXX)
42;Mo;[\citenum{Gould2016b}];$^7S_3, 4d^5$;$82.7$;2016;TD-DFT (PGG)
42;Mo;[\citenum{Gould2016b}];$^7S_3, 4d^5$;$79.0$;2016;SIC-DFT (RXH)
42;Mo;[\citenum{A.Manz2019}];$^7S_3, 4d^5$;$85.93$;2019;ECP, CCSD
42;Mo;[\citenum{Schwerdtfeger2019}];$--$;$87 \pm 6$;2019;recommended
42;Mo;[\citenum{Neto2021}];$^7S_3, 4d^5$;$84.355$;2021;R, CCSD(T)
42;Mo;[\citenum{Sarkisov2022}];$^7S_3, 4d^5$;$76 \pm 15$;2022;exp.
43;Tc;[\citenum{Lide2004, Doolen1987}];$^6S_{5/2}, 4d^5$;$77 \pm 20$;2004;R, Dirac, LDA
43;Tc;[\citenum{Buchachenko2010}];$^6S_{5/2}, 4d^5$;$78.6$;2010;R, CCSD(T)
43;Tc;[\citenum{Hohm2012, Roos2005}];$^6S,4d^5$;$80 \pm 12$;2012;R, DK, CASPT2
43;Tc;[\citenum{Gould2016a}];$^6S_{5/2}, 4d^5$;$79.6$;2016;TD-DFT (LEXX)
43;Tc;[\citenum{Gould2016b}];$^6S_{5/2}, 4d^5$;$93.9$;2016;TD-DFT (PGG)
43;Tc;[\citenum{Gould2016b}];$^6S_{5/2}, 4d^5$;$78.5$;2016;SIC-DFT (RXH)
43;Tc;[\citenum{gobre2016efficient}];$^6S_{5/2}, 4d^5$;$80.08$;2016;LR-CCSD
43;Tc;[\citenum{A.Manz2019}];$^6S_{5/2}, 4d^5$;$80.9$;2019;ECP, CCSD
43;Tc;[\citenum{Schwerdtfeger2019}];$--$;$79 \pm 10$;2019;recommended
43;Tc;[\citenum{CanalNeto2021}];$^6S_{5/2}, 4d^5$;$71.113$;2021;R, CCSD(T)
43;Tc;[\citenum{Neto2021}];$^6S_{5/2}, 4d^5$;$65.158$;2021;R, CCSD(T)
44;Ru;[\citenum{Lide2004, Doolen1987}];$^5F_5, 4d^7$;$65 \pm 16$;2004;R, Dirac, LDA
44;Ru;[\citenum{Gould2016a}];$^5F_5, 4d^7$;$72.3$;2016;TD-DFT (LEXX)
44;Ru;[\citenum{Gould2016b}];$^5F_5, 4d^7$;$69.5$;2016;TD-DFT (PGG)
44;Ru;[\citenum{Gould2016b}];$^5F_5, 4d^7$;$71.4$;2016;SIC-DFT (RXH)
44;Ru;[\citenum{gobre2016efficient}];$^5F_5, 4d^7$;$65.89$;2016;LR-CCSD
44;Ru;[\citenum{A.Manz2019}];$^5F_5, 4d^7$;$71.27$;2019;ECP, CCSD
44;Ru;[\citenum{Schwerdtfeger2019}];$--$;$72 \pm 10$;2019;recommended
45;Rh;[\citenum{Lide2004, Doolen1987}];$^4F_{9/2}, 4d^8$;$58 \pm 15$;2004;R, Dirac, LDA
45;Rh;[\citenum{Ma2015}];$^4F_{9/2}, 4d^8$;$11 \pm 22$;2015;exp. (an unusually low value was obtained)
45;Rh;[\citenum{Gould2016a}];$^4F_{9/2}, 4d^8$;$66.4$;2016;TD-DFT (LEXX)
45;Rh;[\citenum{Gould2016b}];$^4F_{9/2}, 4d^8$;$66.2$;2016;TD-DFT (PGG)
45;Rh;[\citenum{Gould2016b}];$^4F_{9/2}, 4d^8$;$65.7$;2016;SIC-DFT (RXH)
45;Rh;[\citenum{gobre2016efficient}];$^4F_{9/2}, 4d^8$;$56.10$;2016;LR-CCSD
45;Rh;[\citenum{A.Manz2019}];$^4F_{9/2}, 4d^8$;$61.94$;2019;ECP, CCSD
45;Rh;[\citenum{Schwerdtfeger2019}];$--$;$66 \pm 10$;2019;recommended
46;Pd;[\citenum{Lide2004, Doolen1987}];$^1S_0, 4d^{10}$;$32 \pm 8$;2004;R, Dirac, LDA
46;Pd;[\citenum{Bast2008}];$^1S_0, 4d^{10}$;$26.612$;2008;NR, ECP, CCSD(T)
46;Pd;[\citenum{Granatier2011}];$^1S_0, 4d^{10}$;$24.581$;2011;R, DK
46;Pd;[\citenum{Gould2016a}];$^1S_0, 4d^{10}$;$61.7$;2016;TD-DFT (LEXX)
46;Pd;[\citenum{Gould2016b}];$^1S_0, 4d^{10}$;$20.0$;2016;TD-DFT (PGG)
46;Pd;[\citenum{Gould2016b}];$^1S_0, 4d^{10}$;$61.1$;2016;SIC-DFT (RXH)
46;Pd;[\citenum{gobre2016efficient}];$^1S_0, 4d^{10}$;$23.68$;2016;LR-CCSD
46;Pd;[\citenum{Jerabek2018b}];$^1S_0, 4d^{10}$;$26.14 \pm 0.10$;2018;CCSDTQDP, DKH2 + Gaunt, CBS
46;Pd;[\citenum{A.Manz2019}];$^1S_0, 4d^{10}$;$24.36$;2019;ECP, CCSD
46;Pd;[\citenum{Schwerdtfeger2019}];$--$;$26.14 \pm 0.10$;2019;recommended
46;Pd;[\citenum{Sarkisov2022}];$^1S_0, 4d^{10}$;$43 \pm 9$;2022;exp.
47;Ag;[\citenum{Neogrády1997}];$^2S_{1/2}, 4d^{10}$;$55.3 \pm 0.5$;1997;R, DK, CCSD(T)
47;Ag;[\citenum{Roos2005}];$^2S, 4d^{10}$;$36.7$;2005;R, DK, CCSD(T)
47;Ag;[\citenum{Maroulis2006, Neogrády1997}];$^2S, 4d^{10}$;$52.46 \pm 0.52$;2006;R, DK, CCSD(T)
47;Ag;[\citenum{Zhang2008a}];$^2S_{1/2}, 4d^{10}$;$46.17$;2008;CICP
47;Ag;[\citenum{Schwerdtfeger1994, Mohr2009}];$^2S, 4d^{10}$;$52.2$;2009;R, PP, QCISD(T)
47;Ag;[\citenum{Bezchastnov2010}];$^2S_{1/2}, 4d^{10}$;$56 \pm 14$;2010;exp.
47;Ag;[\citenum{Hohm2012}];$^2S_{1/2}, 4d^{10}$;$63.1 \pm 6.3$;2012;exp.
47;Ag;[\citenum{Ma2015}];$^2S_{1/2}, 4d^{10}$;$45.9 \pm 7.4$;2015;exp.
47;Ag;[\citenum{Dyugaev2016}];$^2S, 4d^{10}$;$55.2$;2016;Semi-empirical
47;Ag;[\citenum{Gould2016a}];$^2S_{1/2}, 4d^{10}$;$46.2$;2016;TD-DFT (LEXX)
47;Ag;[\citenum{Gould2016b}];$^2S_{1/2}, 4d^{10}$;$63.3$;2016;TD-DFT (PGG)
47;Ag;[\citenum{Gould2016b}];$^2S_{1/2}, 4d^{10}$;$57.3$;2016;SIC-DFT (RXH)
47;Ag;[\citenum{gobre2016efficient}];$^2S_{1/2}, 4d^{10}$;$50.60$;2016;LR-CCSD
47;Ag;[\citenum{A.Manz2019}];$^2S_{1/2}, 4d^{10}$;$55$;2019;ECP, CCSD
47;Ag;[\citenum{Schwerdtfeger2019}];$--$;$55 \pm 8$;2019;recommended
47;Ag;[\citenum{Tomza2021, Smialkowski2021}];$^2S_{1/2}, 4d^{10}$;$50.2$;2021;SR, ECP, CCSD(T)
47;Ag;[\citenum{Dzuba2021}];$^2S_{1/2}, 4d^{10}$;$50.6$;2021;R, CI+MBPT
47;Ag;[\citenum{Lide2004, Bromley2002b}][2023114];$^2S_{1/2}, 4d^{10}$;$48.4$;2023;R, Dirac, LDA
48;Cd;[\citenum{Kellö1995}];$^1S, 4d^{10}$;$46.8$;1995;R, MVD, CCSD(T)
48;Cd;[\citenum{Goebel1995}];$^1S_0, 4d^{10}$;$49.7 \pm 1.6$;1995;exp.
48;Cd;[\citenum{Goebel1995a}];$^1S_0, 4d^{10}$;$48.2 \pm 1.1$;1995;exp.
48;Cd;[\citenum{Seth1997}];$^1S, 4d^{10}$;$46.25$;1997;R, PP, CCSD(T)
48;Cd;[\citenum{Bromley2002a, Goebel1995a}];$^1S_0, 4d^{10}$;$45.3 \pm 1.4$;2002;exp.
48;Cd;[\citenum{Moszynski2003}];$^1S_0, 4d^{10}$;$45.91/53.99$;2003;CCSD R/NR
48;Cd;[\citenum{Roos2005}];$^1S, 4d^{10}$;$46.9$;2005;R, DK, CASPT2
48;Cd;[\citenum{Maroulis2006, Kellö1995}];$^1S_0, 4d^{10}$;$47.55 \pm 0.48$;2006;R, MVD, CCSD(T)
48;Cd;[\citenum{Ye2008}];$^1S_0, 4d^{10}$;$44.63$;2008;R, DHF, CPMP
48;Cd;[\citenum{Singh2014}];$^1S_0, 4d^{10}$;$45.86 \pm 0.15$;2014;R, DF, CCSD(T), MBPT3
48;Cd;[\citenum{Gould2016a}];$^1S_0, 4d^{10}$;$46.7$;2016;TD-DFT (LEXX)
48;Cd;[\citenum{Sahoo2018b}];$^1S_0, 4d^{10}$;$46.02 \pm 0.50$;2018;R, DHF, CCSD(T)
48;Cd;[\citenum{A.Manz2019}];$^1S_0, 4d^{10}$;$48.3$;2019;ECP, CCSD
48;Cd;[\citenum{Schwerdtfeger2019}];$--$;$46 \pm 2$;2019;recommended
48;Cd;[\citenum{Dutta2020}];$^1S_0, 4d^{10}$;$39.79$;2020;LR-CCSD
48;Cd;[\citenum{Guo2021}];$^1S_0, 4d^{10}$;$45.92 \pm 0.10$;2021;R, CCSD(T)
48;Cd;[\citenum{Zaremba-Kopczyk2021}];$^1S_0, 4d^{10}$;$45.8$;2021;ECP, CCSD(T)
48;Cd;[\citenum{Zhou2021a}];$^1S_0, 4d^{10}$;$46 \pm 2$;2021;R, DFCP+RCI
48;Cd;[\citenum{Hohm2022a}];$^1S_0, 4d^{10}$;$47.5 \pm 2.0$;2022;exp.
49;In;[\citenum{Guella1984}];$^2P_{1/2}$;$68.7 \pm 8.1$;1984;exp.
49;In;[\citenum{Cernusak2003}];$^2P_{1/2}$;$68.67 \pm 0.69$;2003;R, DK, CCSD(T)
49;In;[\citenum{Chu2004}];$^2P_{1/2}$;$70.3$;2004;SIC-DFT
49;In;[\citenum{Fleig2005}];$^2P$;$66.7$;2005;R, SF, MRCI, $M_L$ res.
49;In;[\citenum{Fleig2005}];$^2P_{1/2}/^2P_{3/2}$;$61.9 \pm 1.2/69.6 \pm 1.4$;2005;R, Dirac, MRCI, $M_J$ res.
49;In;[\citenum{Buchachenko2010c}];$^2P_{1/2}/^2P_{3/2}$;$66.4 \pm 5.0/74.4 \pm 8.0$;2010;SI-SOCI, $M_J$ res.
49;In;[\citenum{Borschevsky2012}];$^2P_{1/2}/^2P_{3/2}$;$62.0 \pm 1.9/69.7 \pm 4.0$;2012;\makecell{R, Dirac, FSCC, $M_J$ res. \\($J = 3/2$: $M_J = 3/2$: 55.1, \\$M_J = 1/2$: 84.6)}
49;In;[\citenum{Fleig2005, Borschevsky2012}];$^2P_{1/2}$;$61.5 \pm 5.6$;2012;CCSD(T)
49;In;[\citenum{Safronova2013}];$^2P_{1/2}$;$62.4$;2013;R, Dirac + Breit, CI + all-order
49;In;[\citenum{Ma2015}];$^2P_{1/2}$;$62.1 \pm 6.1$;2015;exp.
49;In;[\citenum{Gould2016b}];$^2P_{1/2}$;$73.1$;2016;SIC-DFT (RXH)
49;In;[\citenum{gobre2016efficient}];$^2P_{1/2}$;$70.22$;2016;LR-CCSD
49;In;[\citenum{Schwerdtfeger2019}][155];$^2P_{1/2}$;$65.2$;2019;R, DFT
49;In;[\citenum{A.Manz2019}];$^2P_{1/2}$;$67.9$;2019;ECP, CCSD
49;In;[\citenum{Schwerdtfeger2019}];$--$;$65 \pm 4$;2019;recommended
49;In;[\citenum{Neto2021}];$^2P_{1/2}$;$70.070$;2021;R, CCSD(T)
49;In;[\citenum{Kumar2022}];$^2P_{1/2}$;$64.3 \pm 1.3/82.3 \pm 1.7$;2022;R, Breit+QED, CCSD
49;In;[\citenum{A.Manz2019}][2023185];$^2P_{1/2}$;$64.5$;2023;R, (D)BSR
50;Sn;[\citenum{Lide2004, Doolen1987}];$^3P$;$52 \pm 13$;2004;R, Dirac, LDA
50;Sn;[\citenum{Chu2004}];$^3P$;$57.5$;2004;SIC-DFT
50;Sn;[\citenum{Thierfelder2008}];$^3P_0$;$52.9 \pm 2.1$;2008;R, Dirac + Gaunt, CCSD(T)
50;Sn;[\citenum{Thierfelder2008}];$^3P_0$;$42.4 \pm 11$;2008;exp.
50;Sn;[\citenum{Assadollahzadeh2009}];$^3P_0$;$54.48$;2009;R, PP, DFT, BP386
50;Sn;[\citenum{Ma2015}];$^3P_0$;$67.5 \pm 8.8$;2015;exp.
50;Sn;[\citenum{Gould2016b}];$^3P_0$;$57.9$;2016;SIC-DFT (RXH)
50;Sn;[\citenum{Chu2004, Gould2016a}];$^3P_0$;$60.0$;2016;TD-DFT (LEXX)
50;Sn;[\citenum{gobre2016efficient}];$^3P_0$;$55.95$;2016;LR-CCSD
50;Sn;[\citenum{A.Manz2019}];$^3P_0$;$54.29$;2019;ECP, CCSD
50;Sn;[\citenum{Schwerdtfeger2019}];$--$;$53 \pm 6$;2019;recommended
50;Sn;[\citenum{CanalNeto2021}];$^3P_0$;$60.115$;2021;R, CCSD(T)
50;Sn;[\citenum{Neto2021}];$^3P_0$;$61.063$;2021;R, CCSD(T)
51;Sb;[\citenum{Lide2004, Doolen1987}];$^4S$;$45 \pm 11$;2004;R, Dirac, LDA
51;Sb;[\citenum{Roos2004}];$^4S$;$42.2 \pm 1.3$;2004;R, DK, CASPT2
51;Sb;[\citenum{Chu2004}];$^4S$;$47.07$;2004;SIC-DFT
51;Sb;[\citenum{Maroulis2007}];$^4S$;$42.26$;2007;NR, CCSD(T)
51;Sb;[\citenum{Buchachenko2010}];$^4S$;$43.03$;2010;ECP, CCSD(T)
51;Sb;[\citenum{Gould2016b}];$^4S$;$45.7$;2016;SIC-DFT (RXH)
51;Sb;[\citenum{Chu2004, Gould2016a}];$^4S$;$44.0$;2016;TD-DFT (LEXX)
51;Sb;[\citenum{A.Manz2019}];$^4S$;$42.78$;2019;ECP, CCSD
51;Sb;[\citenum{Schwerdtfeger2019}];$--$;$43 \pm 2$;2019;recommended
51;Sb;[\citenum{Visentin2020}];$^4S$;$42.8$;2020;ECP, CCSD(T)
52;Te;[\citenum{Lide2004, Doolen1987}];$^3P$;$37 \pm 4$;2004;R, LDA
52;Te;[\citenum{Chu2004}];$^3P$;$40.06$;2004;SIC-DFT
52;Te;[\citenum{Maroulis2006, Sadlej1992}];$^3P$;$38.1 \pm 3.8$;2006;QR, MVD-HF, GTO basis set
52;Te;[\citenum{Gould2016b}];$^3P$;$36.9$;2016;SIC-DFT (RXH)
52;Te;[\citenum{gobre2016efficient}];$^3P$;$37.65$;2016;LR-CCSD
52;Te;[\citenum{A.Manz2019}];$^3P$;$37.51$;2019;ECP, CCSD
52;Te;[\citenum{Schwerdtfeger2019}];$--$;$38 \pm 4$;2019;recommended
52;Te;[\citenum{Allehabi2022}];$^3P$;$37.3$;2022;R, Dirac, CIPT+SD (RPA)
53;I;[\citenum{Maroulis1997}];$^2P_{3/2}$;$32.9 \pm 1.3$;1997;exp.
53;I;[\citenum{Maroulis1997}][162];$^2P_{3/2}$;$33.4$;1997;exp.
53;I;[\citenum{Fleig2002}];$^2P_{1/2}$;$35.1$;2002;R, DK, SO-CI
53;I;[\citenum{Fleig2002}];$^2P_{3/2}$;$34.1$;2002;R, DK, SO-CI, $M_J$ res.
53;I;[\citenum{Chu2004}];$^2P$;$33.6$;2004;SIC-DFT
53;I;[\citenum{Maroulis2006, Fleig2002, Sadlej1992}];$^2P_{3/2}$;$33.0 \pm 1.7$;2006;R, DK, SO-CI
53;I;[\citenum{Gould2016b}];$^2P$;$30.5$;2016;SIC-DFT (RXH)
53;I;[\citenum{gobre2016efficient}];$^2P$;$35.00$;2016;LR-CCSD
53;I;[\citenum{A.Manz2019}];$^2P$;$31.57$;2019;ECP, CCSD
53;I;[\citenum{Schwerdtfeger2019}];$--$;$32.9 \pm 1.3$;2019;recommended
53;I;[\citenum{CanalNeto2021}];$^2P$;$31.101$;2021;R, CCSD(T)
53;I;[\citenum{Neto2021}];$^2P$;$31.114$;2021;R, CCSD(T)
54;Xe;[\citenum{Langhoff1969}];$^1S_0$;$27.342$;1969;exp.
54;Xe;[\citenum{Huot1991}];$^1S_0$;$27.078 \pm 0.050$;1991;exp.
54;Xe;[\citenum{Thakkar1992}];$^1S_0$;$27.16$;1992;DOSD (constrained dipole oscillator strength distribution)
54;Xe;[\citenum{Dalgarno1997b}];$^1S_0$;$27.292$;1997;exp.
54;Xe;[\citenum{Runeberg1998}];$^1S_0$;$27.36$;1998;R, SOPP, CCSD(T) + MP2 basis set correction
54;Xe;[\citenum{Nakajima2001}];$^1S$;$27.06 \pm 0.27$;2001;R, DK3, CCSD(T)
54;Xe;[\citenum{Soldán2001a}];$^1S_0$;$27.2937 \pm 0.0003$;2001;CCSD(T), ECP
54;Xe;[\citenum{Roos2004}];$^1S$;$26.7$;2004;R, DK, CASPT2
54;Xe;[\citenum{Mani2009}];$^1S_0$;$25.297$;2009;R, Dirac, CCSD/T
54;Xe;[\citenum{Bezchastnov2010}];$^1S_0$;$27.42$;2010;R, DK3, CCSD(T)
54;Xe;[\citenum{Chattopadhyay2012}];$^1S_0$;$26.432$;2012;R, DK3, CCSD
54;Xe;[\citenum{Dzuba2016b}];$^1S_0$;$26.7$;2016;R, RPA, PolPot
54;Xe;[\citenum{Gould2016b}];$^1S_0$;$25.4$;2016;SIC-DFT (RXH)
54;Xe;[\citenum{gobre2016efficient}];$^1S_0$;$27.30$;2016;LR-CCSD
54;Xe;[\citenum{Sahoo2018}];$^1S_0$;$28.4 \pm 0.5$;2018;R, CCSD(T)
54;Xe;[\citenum{Sakurai2018}];$^1S_0$;$27.508$;2018;R, CCSD(T)
54;Xe;[\citenum{A.Manz2019}];$^1S_0$;$26.6$;2019;ECP, CCSD
54;Xe;[\citenum{Schwerdtfeger2019}];$--$;$27.32 \pm 0.20$;2019;recommended
54;Xe;[\citenum{Dutta2020}];$^1S_0$;$27.099$;2020;R, DHF, MBPT
54;Xe;[\citenum{Sahoo2023}];$^1S_0$;$27.55 \pm 0.30$;2023;CCSD + hyperfine-induced contributions
55;Cs;[\citenum{Derevianko1999}];$^2S_{1/2}$;$399.9 \pm 1.9$;1999;R, Dirac, SD, all orders + exp. data
55;Cs;[\citenum{Derevianko1999}];$^2S_{1/2}$;$401.5$;1999;R, SD all orders + exp. data for electronic transitions
55;Cs;[\citenum{Amini2003}];$^2S_{1/2}$;$401.0 \pm 0.6$;2003;exp.
55;Cs;[\citenum{Safronova2004}];$^2S_{1/2}$;$398.2 \pm 0.9$;2004;R, Dirac, SDpT
55;Cs;[\citenum{Lim2005}];$^2S$;$396.0 \pm 5.9$;2005;R, DK, CCSD(T), AE
55;Cs;[\citenum{Iskrenova-Tchoukova2008a}];$^2S_{1/2}$;$398.4 \pm 0.7$;2008;R, DF, RPA, SD-all order
55;Cs;[\citenum{Derevianko2010}];$^2S_{1/2}$;$399.8$;2010;Combination of theoretical and experimental data
55;Cs;[\citenum{Borschevsky2013}];$^2S_{1/2}$;$399.0$;2013;R, Dirac, CCSD(T)
55;Cs;[\citenum{Jiang2015a}];$^2S_{1/2}$;$396.7 \pm 7.9$;2015;Combination of theoretical and experimental data
55;Cs;[\citenum{Singh2016}];$^2S_{1/2}$;$399.5 \pm 0.8$;2016;R, Dirac, RCC-SD
55;Cs;[\citenum{Gregoire2015, Gregoire2016}];$^2S_{1/2}$;$400.8 \pm 0.4$;2016;exp.
55;Cs;[\citenum{Schwerdtfeger2019}];$--$;$400.9 \pm 0.7$;2019;recommended
55;Cs;[\citenum{Smialkowski2021}];$^2S_{1/2}$;$391.1$;2021;SR, CCSD(T), ECP
55;Cs;[\citenum{Kaur2022}];$^2S_{1/2}$;$399.9 \pm 0.6$;2022;R, DHF, all order
55;Cs;[\citenum{Badhan2022}];$^2S_{1/2}$;$399.74 \pm 0.55$;2022;R, Dirac-HF, pertubative singles + doubles method, RPA
56;Ba;[\citenum{Schwartz1974}];$^1S_0$;$268 \pm 22$;1974;exp.
56;Ba;[\citenum{Patil2000}];$^1S_0$;$261.2$;2000;Model potential
56;Ba;[\citenum{Porsev2006, Porsev2002}];$^1S$;$262.2$;2006;R, CI, MBPT
56;Ba;[\citenum{Maroulis2006, Lim2004}];$^1S_0$;$273.5 \pm 4.1$;2006;R, DK + SO, CCSD(T)
56;Ba;[\citenum{Porsev2006}];$^1S_0$;$272.1$;2006;Hybrid-RCI + MBPT sum rule
56;Ba;[\citenum{Schäfer2007}];$^1S_0$;$275.5 \pm 5.5$;2007;R, DK, CCSD(T)
56;Ba;[\citenum{Sahoo2008}];$^1S_0$;$268.19$;2008;R, Dirac, coupled cluster
56;Ba;[\citenum{Porsev2006, Derevianko2010}];$^1S_0$;$273.5 \pm 2.0$;2010;Hybrid-RCI + MBPT sum rule, recommended
56;Ba;[\citenum{Borschevsky2013a}];$^1S_0$;$272.7$;2013;R, Dirac + Gaunt, CCSD(T)
56;Ba;[\citenum{Chattopadhyay2014}];$^1S_0$;$274.68$;2014;\makecell{R, Dirac + Breit, perturbed relativistic \\coupled-cluster theory (PRCC)}
56;Ba;[\citenum{Jiang2015a}];$^1S_0$;$278.1 \pm 5.6$;2015;Combination of theoretical and experimental data
56;Ba;[\citenum{Dzuba2016b}];$^1S_0$;$251$;2016;R, RPA, PolPot
56;Ba;[\citenum{gobre2016efficient}];$^1S_0$;$275.0$;2016;LR-CCSD
56;Ba;[\citenum{Buchachenko2018}];$^1S_0$;$274.92 \pm 0.01$;2018;CCSD(T), R DKH ECP/CBS
56;Ba;[\citenum{Visentin2019}];$^1S_0$;$273.90/276.98$;2019;CCSD(T), R, ECP-46/X2C-46
56;Ba;[\citenum{Bala2019}];$^1S_0$;$269.0$;2019;R, KRCISD/aug-QZ
56;Ba;[\citenum{Schwerdtfeger2019}];$--$;$272 \pm 10$;2019;recommended
56;Ba;[\citenum{Shukla2020}];$^1S_0$;$276.2$;2020;R, MCDF
57;La;[\citenum{Lide2004, Doolen1987}];$^2D_{3/2}, 5d^1$;$210 \pm 52$;2004;R, Dirac, LDA
57;La;[\citenum{Chu2007}];$^2D_{3/2}, 5d^1$;$201 \pm 40$;2007;TD-DFT
57;La;[\citenum{Buchachenko2007}];$^2D_{3/2}, 5d^1$;$219.8$;2007;R, CASSCF, ECP
57;La;[\citenum{Hohm2012, Buchachenko2007}];$^2D_{3/2}, 5d^1$;$220 \pm 22$;2012;R, CASSCF, ECP
57;La;[\citenum{Dzuba2014}];$^2D_{3/2}, 5d^1$;$213.7$;2014;"\makecell{R, Dirac, CI + MBPT + CP(RPA); \\($\alpha_D$ = 218.7 for the $5d^2 6s^1$ configuration)}"
57;La;[\citenum{Ma2015}];$^2D_{3/2}, 5d^1$;$170.7 \pm 8.1$;2015;exp.
57;La;[\citenum{A.Manz2019}];$^2D_{3/2}, 5d^1$;$214.72$;2019;ECP, CCSD
57;La;[\citenum{Schwerdtfeger2019}];$--$;$215 \pm 20$;2019;recommended
57;La;[\citenum{Centoducatte2022}];$^2D_{3/2}, 5d^1$;$190.9$;2022;R (ZORA), DFT (B3LYP)
58;Ce;[\citenum{Lide2004, Doolen1987}];$4f^1 5d^1$;$200 \pm 50$;2004;R, Dirac, LDA
58;Ce;[\citenum{Chu2007}];$4f^1 5d^1$;$194 \pm 39$;2007;TD-DFT
58;Ce;[\citenum{Dzuba2014}];$4f^1 5d^1$;$204.7$;2014;"\makecell{R, Dirac, CI + MBPT + CP(RPA); \\($\alpha_D$ = 223.4 for the $4f^2$ configuration)}"
58;Ce;[\citenum{Ma2015}];$^1G_4, 4f^1 5d^1$;$192 \pm 20$;2015;exp.
58;Ce;[\citenum{Schwerdtfeger2019}];$--$;$205 \pm 20$;2019;recommended
58;Ce;[\citenum{Ferreira2020}];$4f^1 5d^1$;$206.51$;2020;R, DKH2-B3LYP/ADZP
58;Ce;[\citenum{Ferreira2020}];$4f^1 5d^1$;$219.66$;2020;R, DKH2-B3LYP/ADZP-DKH
59;Pr;[\citenum{Lide2004, Doolen1987}];$4f^3$;$190 \pm 48$;2004;R, Dirac, LDA
59;Pr;[\citenum{Chu2007}];$4f^3$;$220 \pm 44$;2007;TD-DFT
59;Pr;[\citenum{Dzuba2014}];$4f^3$;$215.8$;2014;"\makecell{R, Dirac, CI + MBPT + CP(RPA); \\($\alpha_D$ = 195.7 for the $4f^2 5d^1$ configuration)}"
59;Pr;[\citenum{Ma2015}];$^4I_{9/2}, 4f^3$;$239 \pm 28$;2015;exp.
59;Pr;[\citenum{Schwerdtfeger2019}];$--$;$216 \pm 20$;2019;recommended
60;Nd;[\citenum{Lide2004, Doolen1987}];$4f^4$;$212 \pm 53$;2004;R, Dirac, LDA
60;Nd;[\citenum{Chu2007}];$4f^4$;$213 \pm 43$;2007;TD-DFT
